scraped_page,title,detail_url,price(USD),building_area(m²),land_area(m²),bedrooms,bathrooms,location,image_count,image_filenames,price_per_sqm,property_type
22,Unrivalled Views And Location On Carrick Creagh,https://www.property.co.zw/for-sale/townhouses-rws224376,420000.0,600.0,3942.0,6.0,3.0,Harare,1,19f1de28d7_0.webp,92.47027741083224,house
22,Industrial Property Located in Kelvin West,https://www.property.co.zw/for-sale/commercial-property-pgp219555,135000.0,500.0,2800.0,3.0,2.0,Bulawayo,1,90891aca5e_0.webp,,commercial
22,Great Investment Potential,https://www.property.co.zw/for-sale/land-mac220874,290000.0,600.0,7200.0,3.0,2.0,Borrowdale,1,b5a32be58e_0.webp,,land
22,4 Bedroomed House for Sale in Zimre Park,https://www.property.co.zw/for-sale/houses-plzp226865,110000.0,300.0,540.0,4.0,2.0,Harare,1,ae07d23bf4_0.webp,130.95238095238096,house
23,Prime land with sewer connection - suitable for development of flats by special consent,https://www.property.co.zw/for-sale/residential-land-stands-oas221371,220000.0,5051.0,5051.0,2.0,2.0,Harare,1,eedbe38cb7_0.webp,21.777865769154623,apartment
23,Magnificent Modern Home,https://www.property.co.zw/for-sale/houses-pgp206920,650000.0,4400.0,4400.0,10.0,3.0,Harare,1,5ff8fdeb5f_0.webp,73.86363636363636,house
23,"3 Bed, 2 Bath Townhouse Complex in Pomona, Harare",https://www.property.co.zw/for-sale/townhouses-gat205919,230000.0,168.0,278.0,3.0,2.0,Harare,1,ea428a298e_0.webp,515.6950672645739,house
23,"Zimre Park Gem ,Versatile Double-Storey Home with Cottage  Staff Quarters.",https://www.property.co.zw/for-sale/houses-leg222873,150000.0,1000.0,1000.0,5.0,3.0,Harare,1,3023ea951a_0.webp,75.0,house
23,Prime property in Newlands for Commercial,https://www.property.co.zw/for-sale/commercial-property-pgp215273,1250000.0,600.0,4063.0,8.0,3.0,Newlands,1,8f9d4c69ec_0.webp,268.067767531632,land
23,Hoggerty Hill Stand,https://www.property.co.zw/for-sale/residential-land-stands-tmr227877,110000.0,600.0,2000.0,3.0,2.0,Harare,1,a8009262c1_0.webp,,land
23,Prime Commercial Property for Sale in Bindura,https://www.property.co.zw/for-sale/commercial-property-gat216678,550000.0,500.0,500.0,3.0,2.0,Unknown,1,06e4bad451_0.webp,,commercial
23,Neat modern Flat,https://www.property.co.zw/for-sale/flats-apartments-pnt225973,65000.0,150.0,100.0,2.0,1.0,Harare,1,ce8404da78_0.webp,,apartment
24,Strathaven  Off Plan Duplex Cluster Homes,https://www.property.co.zw/for-sale/flats-apartments-fpc228691,165000.0,150.0,1884.0,3.0,2.0,Harare,1,8543b010dc_0.webp,,house
24,4.4 Hectares Agro Land 60km from Harare,https://www.property.co.zw/for-sale/agricultural-land-farms-sef207513,150000.0,600.0,44000.0,3.0,2.0,Harare,1,0c011945b5_0.webp,,land
24,"3-Bed Townhouse in Greendale North, Harare, with Boreholevacant",https://www.property.co.zw/for-sale/townhouses-pgp187857,250000.0,210.0,500.0,3.0,2.0,Greendale,1,b27e41e932_0.webp,352.11267605633805,house
24,Unlock The Potential Of This Multi-Use Property,https://www.property.co.zw/for-sale/houses-plzp226301,305000.0,380.0,5040.0,4.0,2.0,Hillside,1,9f0bd1e091_0.webp,56.27306273062731,house
24,Bluffhill,https://www.property.co.zw/for-sale/commercial-property-rws214640,450000.0,3000.0,3300.0,3.0,2.0,Harare,1,517b7841ee_0.webp,71.42857142857143,commercial
24,2058sqm Stand For Sale In Manresa,https://www.property.co.zw/for-sale/residential-land-stands-sef224646,60000.0,600.0,2058.0,3.0,2.0,Harare,1,4ac714397e_0.webp,,land
25,Prime Residential Stand in Gletwin Park - 4250 m² of Potential,https://www.property.co.zw/for-sale/residential-land-stands-rws225443,145000.0,4250.0,4250.0,3.0,2.0,Harare,1,2599c36088_0.webp,17.058823529411764,land
